,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,income_encoded
34697,53,Private,120914,11th,7,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0
32776,49,Private,37306,HS-grad,9,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0
7126,20,Private,42706,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,25,United-States,<=50K,0
42654,17,Local-gov,236831,12th,8,Never-married,Adm-clerical,Own-child,Black,Female,0,0,15,United-States,<=50K,0
44359,26,Private,224567,11th,7,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K,0
31252,49,Private,277946,Some-college,10,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1
30864,44,State-gov,98989,Bachelors,13,Married,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,38,United-States,>50K,1
30180,37,Private,89718,Some-college,10,Married,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K,0
2878,31,Private,407930,7th-8th,4,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,0
15851,27,Private,68037,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K,0
30392,19,State-gov,261422,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K,0
8277,43,Private,209149,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K,0
43155,39,Private,61518,Some-college,10,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1
35584,46,Private,163324,HS-grad,9,Married,Other-service,Wife,White,Female,0,0,40,United-States,<=50K,0
30008,36,Private,48972,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0
18489,66,Self-emp-not-inc,140456,Bachelors,13,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K,1
41731,54,Private,145419,Bachelors,13,Married,Sales,Husband,White,Male,0,0,60,United-States,>50K,1
2062,22,Private,62507,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K,0
38349,27,Local-gov,100817,Bachelors,13,Married,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K,0
23337,23,Private,267955,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
14453,20,Private,38620,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K,0
12401,26,Private,136226,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0
2260,25,Private,73289,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,0
13408,26,Private,177720,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,<=50K,0
31706,29,Private,50295,Some-college,10,Married,Exec-managerial,Husband,White,Male,0,0,48,United-States,<=50K,0
35940,23,Private,32732,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
7680,23,Private,435604,Assoc-voc,11,Separated,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K,0
21970,34,Private,434463,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,39,United-States,<=50K,0
46069,19,Private,180917,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,0
19044,23,Private,225724,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,25,United-States,<=50K,0
13798,59,Private,162136,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,56,United-States,<=50K,0
26291,39,Private,101260,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,0
33370,23,Self-emp-not-inc,40323,Some-college,10,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1
47756,24,Federal-gov,59948,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K,0
12743,49,Private,328776,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,0
10309,37,Private,204145,Assoc-voc,11,Married,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,1
2535,38,Private,264627,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0
20607,31,Private,172304,Some-college,10,Married,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,1
38425,28,Private,164575,Some-college,10,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,0
47789,36,Local-gov,102729,HS-grad,9,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,0
27904,31,Private,341672,Some-college,10,Married,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,50,India,<=50K,0
4357,22,Private,141698,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0
11367,43,Private,281422,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,45,United-States,<=50K,0
23031,32,Private,32406,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,0
37456,23,Private,316793,HS-grad,9,Married,Sales,Wife,Black,Female,0,0,35,United-States,<=50K,0
38847,47,Private,126441,Some-college,10,Married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
39957,47,Private,112362,10th,6,Married,Sales,Husband,White,Male,0,0,40,United-States,<=50K,0
25520,48,State-gov,49595,Masters,14,Divorced,Protective-serv,Not-in-family,White,Male,0,0,72,United-States,<=50K,0
38205,52,Private,197322,Some-college,10,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
4124,25,Private,511331,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K,0
12819,46,Private,154430,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,>50K,1
18057,23,Private,212888,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
34631,40,Private,199668,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,25,United-States,<=50K,0
8238,62,Private,113080,7th-8th,4,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0
25375,22,Private,306593,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0
48141,30,Private,186932,Some-college,10,Married,Sales,Husband,White,Male,0,0,75,United-States,<=50K,0
7791,19,Private,165310,HS-grad,9,Married,Machine-op-inspct,Other-relative,White,Male,0,0,20,United-States,<=50K,0
3692,46,Private,271828,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1
46083,43,Private,163831,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
31712,24,Private,280960,HS-grad,9,Married,Machine-op-inspct,Wife,White,Female,0,0,24,United-States,<=50K,0
44284,35,Private,164193,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
27006,32,Private,211751,Assoc-voc,11,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,0
33515,35,Private,198841,Some-college,10,Married,Protective-serv,Husband,White,Male,0,0,56,United-States,<=50K,0
41792,34,Private,150154,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,1
35566,51,Private,292110,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K,0
6612,19,Private,195985,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,50,United-States,<=50K,0
43416,30,Private,145139,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K,0
5213,26,Private,236068,Some-college,10,Never-married,Sales,Other-relative,White,Female,0,0,20,United-States,<=50K,0
26733,24,Local-gov,84257,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,0
16657,34,Self-emp-not-inc,319165,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,1
32774,39,Private,22463,Bachelors,13,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,0
30062,34,Private,140571,Assoc-voc,11,Divorced,Tech-support,Unmarried,Black,Female,0,0,40,United-States,<=50K,0
1644,55,Self-emp-not-inc,52888,Prof-school,15,Married,Prof-specialty,Wife,White,Female,0,0,10,United-States,<=50K,0
33385,56,Private,249751,HS-grad,9,Married,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,0
692,42,Private,262425,Some-college,10,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,0
28085,32,Private,226696,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K,1
13890,47,Private,135803,HS-grad,9,Married,Other-service,Husband,Asian-Pac-Islander,Male,0,0,25,Philippines,<=50K,0
11756,36,Private,99872,HS-grad,9,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,India,<=50K,0
12294,38,Private,195744,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,48,United-States,<=50K,0
8715,62,Private,135480,HS-grad,9,Married,Sales,Husband,White,Male,0,0,16,United-States,<=50K,0
11176,31,Private,349148,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1
44878,64,Local-gov,209899,Some-college,10,Married,Protective-serv,Husband,White,Male,0,0,35,United-States,<=50K,0
14196,23,Private,203076,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,0
27767,36,Local-gov,150309,Assoc-voc,11,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,0
10295,17,Private,228399,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,7,United-States,<=50K,0
33869,19,Private,106306,Some-college,10,Never-married,Craft-repair,Own-child,White,Female,0,0,20,United-States,<=50K,0
16545,22,Private,383603,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,0
46639,33,Private,239071,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,46,United-States,<=50K,0
40214,22,Private,187592,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,<=50K,0
36544,24,Private,113936,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,55,United-States,<=50K,0
33583,41,Self-emp-not-inc,280005,Some-college,10,Married,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K,0
12102,34,Private,173524,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0
14650,37,Self-emp-not-inc,112497,Masters,14,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1
20779,27,Private,197380,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
13127,35,Private,146091,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
10514,42,Private,39324,HS-grad,9,Married,Sales,Husband,White,Male,0,0,40,United-States,<=50K,0
34144,21,Private,238899,Bachelors,13,Never-married,Sales,Own-child,Black,Female,0,0,30,United-States,<=50K,0
42986,29,Private,33436,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,42,United-States,<=50K,0
44536,27,Private,144808,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K,0
15958,24,Self-emp-not-inc,186831,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,45,United-States,<=50K,0
33275,37,Self-emp-inc,132879,Some-college,10,Married,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K,1
17512,27,Federal-gov,46442,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Female,0,0,35,United-States,<=50K,0
40612,33,Private,248754,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K,0
36140,38,Private,61343,9th,5,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
757,33,Local-gov,120064,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K,0
48030,24,Private,200295,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K,0
43723,56,Private,337065,7th-8th,4,Divorced,Farming-fishing,Other-relative,White,Male,0,0,40,United-States,<=50K,0
3784,49,Private,185859,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,43,United-States,<=50K,0
37763,21,Private,140001,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,10,United-States,<=50K,0
17681,22,Private,124454,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K,0
13462,55,Self-emp-not-inc,111625,HS-grad,9,Married,Sales,Husband,White,Male,0,0,40,United-States,<=50K,0
4984,27,Private,194652,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K,0
2390,30,Self-emp-inc,78530,HS-grad,9,Married,Exec-managerial,Husband,White,Male,0,0,65,Canada,>50K,1
47973,53,Private,174102,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1
36392,18,Private,85508,12th,8,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K,0
4122,44,Private,242619,Some-college,10,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0
28955,31,Private,242984,Some-college,10,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
21865,63,Private,301108,11th,7,Married,Sales,Husband,White,Male,0,0,22,United-States,<=50K,0
45908,25,Private,108838,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
17967,50,Private,233369,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,0
23889,61,Private,97128,Bachelors,13,Married,Sales,Husband,White,Male,0,0,45,United-States,>50K,1
40006,38,Local-gov,30056,Some-college,10,Married,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,0
48195,20,Private,256796,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K,0
12703,69,Private,209236,HS-grad,9,Married,Adm-clerical,Husband,White,Male,0,0,36,United-States,<=50K,0
10889,48,State-gov,148738,Some-college,10,Divorced,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K,0
5982,19,Private,141868,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,0
7490,41,Private,204046,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
29331,37,Private,224566,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,0
35399,47,Self-emp-not-inc,149218,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K,0
29726,35,Private,41777,12th,8,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,20,United-States,<=50K,0
13788,57,State-gov,32694,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1
10626,30,Private,78980,Assoc-voc,11,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,1
46607,30,State-gov,45737,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
38320,24,Private,172169,Some-college,10,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,30,United-States,<=50K,0
35253,21,Private,249150,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,24,United-States,<=50K,0
22522,42,Private,208726,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K,0
24966,53,Private,295520,9th,5,Widowed,Sales,Unmarried,Black,Female,0,0,25,United-States,<=50K,0
36141,40,Private,32533,7th-8th,4,Married,Machine-op-inspct,Husband,White,Male,0,0,30,United-States,<=50K,0
21230,18,Private,352640,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,0
43778,33,Private,173730,Masters,14,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,0
9373,40,Private,224799,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K,0
39058,28,Private,93235,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
37393,39,Private,238255,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0
47553,33,Private,70240,Some-college,10,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,0
36498,46,Private,265371,Some-college,10,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
6628,49,Private,123584,11th,7,Married,Transport-moving,Husband,White,Male,0,0,75,United-States,<=50K,0
34965,40,Private,61287,Some-college,10,Married,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,0
12066,48,Self-emp-inc,181307,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,60,United-States,>50K,1
46027,58,Federal-gov,26947,Bachelors,13,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K,0
36086,19,Private,163015,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,20,United-States,<=50K,0
33466,41,Private,143069,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,0
18140,37,Private,278576,HS-grad,9,Married,Machine-op-inspct,Husband,White,Male,0,0,60,United-States,>50K,1
24201,52,Local-gov,186117,HS-grad,9,Married,Protective-serv,Husband,White,Male,0,0,56,United-States,>50K,1
37615,52,Private,172511,Masters,14,Married,Exec-managerial,Husband,White,Male,0,0,36,United-States,<=50K,0
2406,48,Private,36503,Some-college,10,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1
35751,37,Local-gov,347136,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,<=50K,0
22514,39,Local-gov,112284,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
33952,47,Local-gov,216586,11th,7,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K,0
24519,37,Private,113120,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
24302,66,Self-emp-not-inc,212185,7th-8th,4,Married,Farming-fishing,Husband,White,Male,0,0,48,United-States,<=50K,0
6752,41,Private,266530,HS-grad,9,Married,Other-service,Husband,Amer-Indian-Eskimo,Male,0,0,45,United-States,<=50K,0
19705,41,Self-emp-not-inc,32533,Assoc-voc,11,Married,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K,0
31535,51,Self-emp-not-inc,291755,7th-8th,4,Married,Exec-managerial,Husband,White,Male,0,0,42,United-States,<=50K,0
43652,22,Private,163519,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K,0
23203,35,Private,142616,HS-grad,9,Separated,Other-service,Own-child,Black,Female,0,0,30,United-States,<=50K,0
8870,22,Private,51262,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,0
27146,27,Private,69757,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,<=50K,0
30395,28,Private,144833,Some-college,10,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,0
8233,37,State-gov,103474,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,0
13942,40,Private,163434,Some-college,10,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,0
10480,56,Local-gov,305767,HS-grad,9,Married,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,China,<=50K,0
44387,38,Private,185053,Masters,14,Married,Prof-specialty,Wife,White,Female,0,0,20,United-States,>50K,1
14873,43,Private,284403,Assoc-acdm,12,Married,Sales,Husband,Black,Male,0,0,60,United-States,<=50K,0
40050,55,Private,194371,HS-grad,9,Married,Sales,Wife,White,Female,0,0,40,Canada,>50K,1
31090,32,Private,45796,Some-college,10,Married,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K,0
24650,64,Private,260082,12th,8,Married,Craft-repair,Husband,White,Male,0,0,40,Columbia,<=50K,0
36514,63,Private,154526,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
47771,31,State-gov,174957,Some-college,10,Married,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K,0
10121,28,Private,421967,Bachelors,13,Married,Exec-managerial,Wife,White,Female,0,0,60,United-States,>50K,1
16846,35,Private,379959,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
19260,29,Private,54932,HS-grad,9,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0
45822,41,Private,40151,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1
24273,21,Private,124242,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,0
44640,42,Private,184018,Masters,14,Married,Sales,Husband,White,Male,0,0,45,United-States,>50K,1
13568,64,Self-emp-not-inc,113929,HS-grad,9,Married,Sales,Husband,White,Male,0,0,35,United-States,<=50K,0
16890,24,Federal-gov,219519,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K,0
14485,33,Local-gov,269604,5th-6th,3,Never-married,Other-service,Unmarried,Other,Female,0,0,40,El-Salvador,<=50K,0
26944,33,Local-gov,133876,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,0
18611,31,Private,217460,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K,0
29244,38,Private,60313,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
46516,75,Private,199826,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,36,United-States,>50K,1
38401,41,Self-emp-not-inc,252392,5th-6th,3,Married,Craft-repair,Husband,White,Male,0,0,96,Mexico,<=50K,0
35928,25,Private,261419,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,50,United-States,<=50K,0
21990,51,Private,183709,Assoc-voc,11,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,0
39522,58,Private,143266,HS-grad,9,Married,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,0
16115,28,Private,410351,Some-college,10,Married,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,0
11874,33,Private,433375,1st-4th,2,Married,Craft-repair,Husband,White,Male,0,0,35,Mexico,<=50K,0
46379,30,Private,131415,Bachelors,13,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,60,United-States,<=50K,0
10788,47,Private,140045,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0
3889,53,Private,225768,Assoc-voc,11,Married,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K,1
2931,43,Self-emp-not-inc,180599,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K,0
1884,27,Local-gov,263431,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50K,0
19864,31,Private,179013,HS-grad,9,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K,0
26905,30,Private,26009,HS-grad,9,Married,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,1
4227,51,Local-gov,88120,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K,0
22574,59,Private,308118,Assoc-acdm,12,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K,1
15428,20,Private,451996,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,0
26164,29,Private,274010,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K,0
24688,19,Private,196857,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K,0
25098,56,Local-gov,435836,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
25460,34,Private,27494,HS-grad,9,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,48,United-States,>50K,1
25532,43,Private,245056,HS-grad,9,Married,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K,1
34434,17,Private,173740,10th,6,Never-married,Sales,Not-in-family,White,Female,0,0,15,United-States,<=50K,0
45747,40,Local-gov,161475,HS-grad,9,Married,Protective-serv,Wife,Black,Female,0,0,75,United-States,<=50K,0
17458,54,Self-emp-not-inc,226497,Some-college,10,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K,0
4730,55,Local-gov,219775,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,38,United-States,<=50K,0
21552,23,Private,197552,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K,0
10386,26,Self-emp-not-inc,189238,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,4,Mexico,<=50K,0
34507,29,Local-gov,211032,Assoc-acdm,12,Married,Protective-serv,Husband,White,Male,0,0,72,United-States,>50K,1
26150,64,Federal-gov,175534,Doctorate,16,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,>50K,1
27725,27,Private,372500,5th-6th,3,Married,Handlers-cleaners,Husband,White,Male,0,0,45,Mexico,<=50K,0
24150,35,Self-emp-not-inc,114366,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,0
48012,44,State-gov,484879,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,0
3346,27,Private,58654,Assoc-voc,11,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0
34445,42,Private,234633,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,1
22993,30,Private,247444,Some-college,10,Married,Machine-op-inspct,Husband,White,Male,0,0,40,Nicaragua,<=50K,0
12182,57,Private,99364,9th,5,Married,Machine-op-inspct,Husband,White,Male,0,0,40,Puerto-Rico,<=50K,0
16471,59,Private,205759,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,0
25656,27,Private,167737,12th,8,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K,0
13629,40,Private,193537,Some-college,10,Married,Adm-clerical,Wife,White,Female,0,0,40,Dominican-Republic,<=50K,0
13624,23,Local-gov,203353,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,45,United-States,<=50K,0
19454,31,Self-emp-inc,467108,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,>50K,1
33311,41,Federal-gov,46366,Bachelors,13,Married,Exec-managerial,Wife,Black,Female,0,0,50,United-States,>50K,1
40636,31,Local-gov,201697,Bachelors,13,Married,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,1
14734,30,Private,77266,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,0
15582,19,Private,63814,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,18,United-States,<=50K,0
29257,56,Self-emp-inc,32316,12th,8,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
